DATE,PM2.5,PM10,NO2,SO2,CO,AQI
2024-01-01,71.18,288.33,24.09,21.92,0.74,244
2024-01-02,76.61,290.95,26.95,22.19,0.64,259
2024-01-03,81.94,308.65,26.41,22.01,1.03,246
2024-01-04,86.58,349.36,21.61,22.18,1.02,324
2024-01-05,64.61,267.06,19.8,22.36,0.85,246
2024-01-06,78.21,319.32,20.7,22.47,0.8,220
2024-01-07,80.76,334.34,27.08,22.9,-9.99,308
2024-01-08,95.24,373.77,24.92,22.87,0.85,314
2024-01-09,52.82,212.74,20.55,22.8,0.69,254
2024-01-10,73.62,286.79,22.23,22.86,0.7,168
2024-01-11,99.72,356.85,29.89,21.9,1.0,314
2024-01-12,367.54054293915215,304.72,28.91,20.95,1.02,264
2024-01-13,127.48,492.05,36.16,21.31,1.58,348
2024-01-14,106.07,327.54,35.14,21.46,1.66,345
2024-01-15,70.53,271.14,30.99,21.32,1.1,222
2024-01-16,125.14,451.87,48.65,21.62,1.78,331
2024-01-17,95.9,388.59,47.21,21.76,1.36,360
2024-01-18,95.82,374.84,42.41,22.18,1.19,313
2024-01-19,118.7,342.32,44.35,22.69,1.28,295
2024-01-20,79.2,324.13,40.61,22.07,0.88,276
2024-01-21,72.57,257.14,30.47,21.56,0.96,271
2024-01-22,108.32,372.63,40.42,21.67,0.92,240
2024-01-23,115.04,429.22,45.74,22.03,1.23,378
2024-01-24,105.87,405.6,39.12,22.06,1.16,383
2024-01-25,80.42,278.84,31.23,21.27,1.0,242
2024-01-26,108.52,404.79,40.1,20.68,1.41,352
2024-01-27,72.18,299.85,35.5,20.61,0.81,267
2024-01-28,128.46,468.87,54.04,21.03,1.5,343
2024-01-29,122.47,471.32,46.09,21.21,1.26,383
2024-01-30,77.87,287.31,28.29,20.94,1.16,295
2024-01-31,95.45,328.24,36.78,21.63,1.63,277
2024-02-01,31.84,108.25,31.22,21.48,0.71,145
2024-02-02,44.56,160.64,19.75,21.54,-9.99,131
2024-02-03,52.97,218.9,29.51,21.47,0.76,152
2024-02-04,54.29,199.46,29.1,21.64,0.92,209
2024-02-05,37.31,142.31,22.29,21.72,0.49,136
2024-02-06,33.73,142.23,24.61,21.58,0.43,112
2024-02-07,42.73,176.83,27.71,21.51,0.45,166
2024-02-08,42.68,168.67,27.05,21.7,0.46,172
2024-02-09,45.43,178.41,33.32,21.86,0.52,155
2024-02-10,102.56,324.04,43.5,22.07,0.91,253
2024-02-11,57.57,273.84,36.16,22.03,0.63,247
2024-02-12,78.2,300.65,41.68,22.57,0.74,228
2024-02-13,105.22,417.5,33.9,23.06,1.11,336
2024-02-14,98.06,369.58,38.95,22.97,1.02,0
2024-02-15,73.63,296.8,40.37,23.15,0.77,234
2024-02-16,64.35,264.88,41.3,23.26,0.71,245
2024-02-17,65.88,265.95,42.98,23.5,0.7,220
2024-02-18,80.42,323.0,58.36,24.17,1.66,287
2024-02-19,60.72,284.13,52.67,23.83,0.66,241
2024-02-20,152.51,267.95,44.29,24.34,0.76,219
