Date,temp,humidity,precip,windspeed,heat_index,conditions
2024-01-01,12.1,81.7,0.0,11.2,303.6701381,Clear
2024-01-02,11.2,82.2,81.30495306926682,11.2,311.7059851,Clear
2024-01-03,10.8,87.8,0.0,11.2,315.6345443,Clear
2024-01-04,10.1,92.7,0.0,13.0,320.306828,Partially cloudy
2024-01-05,12.0,92.9,0.0,11.2,302.174724,Partially cloudy
2024-01-06,12.1,84.9,0.0,11.2,304.1238211,Clear
2024-01-07,11.6,81.2,0.0,7.6,307.8596363,Partially cloudy
2024-01-08,10.9,88.1,0.0,7.6,314.646701,Clear
2024-01-09,10.9,90.8,0.0,13.0,313.7108866,Partially cloudy
2024-01-10,9.7,87.4,0.0,14.8,325.9666362,Clear
2024-01-11,10.6,83.4,0.0,11.2,317.3857825,Clear
2024-01-12,10.2,83.5,0.0,9.4,321.0354199,Partially cloudy
2024-01-13,10.9,86.7,0.0,7.6,314.869288,Partially cloudy
2024-01-14,10.8,85.6,0.0,9.4,315.8306955,Partially cloudy
2024-01-15,10.4,80.7,0.0,9.4,318.213764,Partially cloudy
2024-01-16,10.2,88.4,0.0,14.8,321.1104884,Partially cloudy
2024-01-17,10.8,82.6,0.0,10.1,315.3830886,Partially cloudy
2024-01-18,10.6,86.7,0.0,9.4,317.6307626,Partially cloudy
2024-01-19,10.0,89.6,0.0,11.2,322.6856529,Partially cloudy
2024-01-20,11.5,82.3,0.0,8.2,309.0839997,Partially cloudy
2024-01-21,9.3,90.1,0.0,14.2,329.2277525,Partially cloudy
2024-01-22,10.5,82.7,0.0,9.4,318.1043058,Partially cloudy
2024-01-23,11.9,84.9,0.0,11.2,305.9018742,Partially cloudy
2024-01-24,11.5,85.8,0.0,11.2,309.4716859,Partially cloudy
2024-01-25,10.9,87.1,0.0,9.4,314.8239949,Partially cloudy
2024-01-26,12.4,76.3,0.0,9.4,298.3377119,Partially cloudy
2024-01-27,14.0,68.3,0.0,15.2,277.4550969,Clear
2024-01-28,13.3,78.0,0.0,14.8,291.9938861,Partially cloudy
2024-01-29,95.0,84.1,0.0,11.2,286.7732681,Partially cloudy
